Male,55,180,5,75.4,94.5,59.7,65.1,44.4,37,86.7,78.1,105.4,88.6,81.9,61.6,47.8,27.2,17.2,81.9
Male,55,180,6,75.6,95.7,59.9,65.2,44.3,37.1,86.4,80,105.3,89.1,83.5,62.1,47.5,26.9,17.2,83.5
Male,55,185,1,76.7,92.7,59.7,66.4,44.7,36.2,87.1,68.9,108.6,85.6,74.9,59.5,48.1,27.8,17.3,74.9
Male,55,185,2,76.9,93.9,60,66.6,44.7,36.4,86.8,70.8,108.6,86.1,76.5,60,47.8,27.5,17.3,76.5
Male,55,185,3,77.1,95.1,60.2,66.7,44.7,36.5,86.4,72.7,108.6,86.6,78,60.5,47.5,27.2,17.3,78
Male,55,185,4,77.2,96.3,60.4,66.9,44.7,36.7,86.1,74.6,108.6,87.1,79.5,61,47.2,26.9,17.2,79.5
Male,55,185,5,77.4,97.5,60.6,67.1,44.7,36.8,85.8,76.4,108.6,87.6,81.1,61.4,46.9,26.6,17.2,81.1
Male,55,185,6,77.6,98.7,60.8,67.2,44.6,37,85.4,78.3,108.6,88.1,82.6,61.9,46.6,26.3,17.2,82.6
Male,55,190,1,78.7,95.7,60.7,68.4,45,36.1,86.2,67.2,111.9,84.5,74.1,59.3,47.2,27.2,17.3,74.1
Male,55,190,2,78.8,96.9,60.9,68.6,45,36.2,85.8,69.1,111.9,85,75.6,59.8,46.9,26.9,17.3,75.6
Male,55,190,3,79,98.1,61.1,68.8,45,36.4,85.5,71,111.8,85.5,77.2,60.3,46.6,26.6,17.3,77.2
Male,55,190,4,79.2,99.3,61.3,68.9,45,36.5,85.2,72.9,111.8,86,78.7,60.8,46.3,26.3,17.3,78.7
Male,55,190,5,79.3,100.5,61.5,69.1,45,36.7,84.8,74.7,111.8,86.5,80.2,61.3,46,26,17.3,80.2
Male,55,190,6,79.5,101.7,61.8,69.3,44.9,36.8,84.5,76.6,111.8,87,81.8,61.8,45.7,25.7,17.3,81.8
Male,55,195,1,80.6,98.7,61.6,70.4,45.3,35.9,85.2,65.5,115.1,83.5,73.2,59.1,46.4,26.7,17.4,73.2
Male,55,195,2,80.8,99.9,61.8,70.6,45.3,36,84.9,67.4,115.1,84,74.8,59.6,46.1,26.3,17.4,74.8
Male,55,195,3,81,101.1,62.1,70.8,45.3,36.2,84.6,69.3,115.1,84.5,76.3,60.1,45.8,26,17.3,76.3
Male,55,195,4,81.1,102.3,62.3,70.9,45.3,36.3,84.2,71.1,115.1,85,77.8,60.6,45.5,25.7,17.3,77.8
Male,55,195,5,81.3,103.5,62.5,71.1,45.3,36.5,83.9,73,115.1,85.5,79.4,61.1,45.2,25.4,17.3,79.4
Male,55,195,6,81.5,104.7,62.7,71.3,45.2,36.6,83.5,74.9,115,86,80.9,61.6,44.9,25.1,17.3,80.9
Male,55,200,1,82.6,101.7,62.6,72.5,45.6,35.7,84.3,63.8,118.3,82.4,72.4,59,45.5,26.1,17.4,72.4
Male,55,200,2,82.7,102.9,62.8,72.6,45.6,35.9,84,65.7,118.3,82.9,73.9,59.5,45.2,25.7,17.4,73.9
Male,55,200,3,82.9,104.1,63,72.8,45.6,36,83.6,67.6,118.3,83.4,75.4,60,44.9,25.4,17.4,75.4
Male,55,200,4,83.1,105.3,63.2,73,45.6,36.2,83.3,69.4,118.3,83.9,77,60.4,44.6,25.1,17.4,77
Male,55,200,5,83.3,106.5,63.4,73.1,45.6,36.3,82.9,71.3,118.3,84.4,78.5,60.9,44.3,24.8,17.4,78.5
Male,55,200,6,83.4,107.7,63.7,73.3,45.5,36.5,82.6,73.2,118.3,85,80.1,61.4,44,24.5,17.4,80.1
Male,55,205,1,84.5,104.7,63.5,74.5,45.9,35.5,83.3,62.1,121.6,81.4,71.5,58.8,44.6,25.5,17.5,71.5
Male,55,205,2,84.7,105.9,63.7,74.6,45.9,35.7,83,64,121.6,81.9,73.1,59.3,44.3,25.1,17.5,73.1
Male,55,205,3,84.9,107.1,64,74.8,45.9,35.8,82.7,65.9,121.5,82.4,74.6,59.8,44,24.8,17.4,74.6
Male,55,205,4,85,108.3,64.2,75,45.9,36,82.3,67.7,121.5,82.9,76.1,60.3,43.7,24.5,17.4,76.1
Male,55,205,5,85.2,109.5,64.4,75.1,45.9,36.1,82,69.6,121.5,83.4,77.7,60.8,43.4,24.2,17.4,77.7
Male,55,205,6,85.4,110.7,64.6,75.3,45.8,36.3,81.7,71.5,121.5,83.9,79.2,61.3,43.1,23.9,17.4,79.2
Male,55,210,1,86.5,107.7,64.5,76.5,46.2,35.4,82.4,60.4,124.8,80.3,70.7,58.6,43.7,24.9,17.5,70.7
Male,55,210,2,86.7,108.9,64.7,76.7,46.2,35.5,82.1,62.3,124.8,80.8,72.2,59.1,43.4,24.6,17.5,72.2
Male,55,210,3,86.8,110.1,64.9,76.8,46.2,35.7,81.7,64.2,124.8,81.3,73.7,59.6,43.1,24.2,17.5,73.7
Male,55,210,4,87,111.3,65.1,77,46.2,35.8,81.4,66,124.8,81.8,75.3,60.1,42.8,23.9,17.5,75.3
Male,55,210,5,87.2,112.5,65.3,77.2,46.1,36,81.1,67.9,124.7,82.4,76.8,60.6,42.5,23.6,17.5,76.8
Male,55,210,6,87.3,113.7,65.6,77.3,46.1,36.1,80.7,69.8,124.7,82.9,78.4,61.1,42.2,23.3,17.5,78.4
Male,55,215,1,88.4,110.7,65.4,78.5,46.5,35.2,81.5,58.7,128,79.3,69.8,58.5,42.8,24.3,17.6,69.8
Male,55,215,2,88.6,111.9,65.6,78.7,46.5,35.3,81.1,60.6,128,79.8,71.4,59,42.6,24,17.5,71.4
Male,55,215,3,88.8,113.1,65.8,78.8,46.5,35.5,80.8,62.5,128,80.3,72.9,59.4,42.3,23.6,17.5,72.9
Male,55,215,4,88.9,114.3,66.1,79,46.5,35.6,80.5,64.3,128,80.8,74.4,59.9,42,23.3,17.5,74.4
Male,55,215,5,89.1,115.5,66.3,79.2,46.4,35.8,80.1,66.2,128,81.3,76,60.4,41.7,23,17.5,76
Male,55,215,6,89.3,116.7,66.5,79.4,46.4,35.9,79.8,68.1,128,81.8,77.5,60.9,41.4,22.7,17.5,77.5
Male,55,220,1,90.4,113.7,66.4,80.5,46.8,35,80.5,57,131.3,78.2,69,58.3,42,23.7,17.6,69
Male,55,220,2,90.6,114.9,66.6,80.7,46.8,35.2,80.2,58.9,131.2,78.7,70.5,58.8,41.7,23.4,17.6,70.5
Male,55,220,3,90.7,116.1,66.8,80.9,46.8,35.3,79.8,60.8,131.2,79.3,72,59.3,41.4,23.1,17.6,72
Male,55,220,4,90.9,117.3,67,81,46.8,35.5,79.5,62.6,131.2,79.8,73.6,59.8,41.1,22.7,17.6,73.6
Male,55,220,5,91.1,118.5,67.2,81.2,46.7,35.6,79.2,64.5,131.2,80.3,75.1,60.3,40.8,22.4,17.6,75.1
Male,55,220,6,91.2,119.7,67.4,81.4,46.7,35.8,78.8,66.4,131.2,80.8,76.7,60.8,40.5,22.1,17.5,76.7
Male,60,150,1,63.5,72,53.8,52.2,43.5,38.2,96.9,84.7,86,95.8,83.7,61.9,56.2,33.2,17.2,83.7
Male,60,150,2,63.7,73.2,54,52.4,43.5,38.3,96.6,86.5,86,96.3,85.3,62.4,55.9,32.8,17.2,85.3
Male,60,150,3,63.9,74.5,54.2,52.6,43.5,38.5,96.2,88.4,86,96.8,86.8,62.9,55.6,32.5,17.2,86.8
Male,60,150,4,64,75.7,54.4,52.7,43.5,38.6,95.9,90.3,85.9,97.3,88.4,63.4,55.3,32.2,17.2,88.4
Male,60,150,5,64.2,76.9,54.6,52.9,43.5,38.8,95.5,92.2,85.9,97.8,89.9,63.9,55,31.9,17.2,89.9
Male,60,150,6,64.4,78.1,54.9,53.1,43.4,38.9,95.2,94,85.9,98.3,91.5,64.4,54.7,31.6,17.2,91.5
Male,60,155,1,65.5,75,54.7,54.2,43.8,38,95.9,83,89.2,94.8,82.9,61.7,55.3,32.6,17.3,82.9
Male,60,155,2,65.7,76.2,54.9,54.4,43.8,38.2,95.6,84.8,89.2,95.3,84.4,62.2,55,32.2,17.3,84.4
Male,60,155,3,65.8,77.5,55.2,54.6,43.8,38.3,95.3,86.7,89.2,95.8,86,62.7,54.7,31.9,17.3,86
Male,60,155,4,66,78.7,55.4,54.7,43.8,38.5,94.9,88.6,89.2,96.3,87.5,63.2,54.4,31.6,17.2,87.5
Male,60,155,5,66.2,79.9,55.6,54.9,43.8,38.6,94.6,90.5,89.2,96.8,89.1,63.7,54.1,31.3,17.2,89.1
Male,60,155,6,66.3,81.1,55.8,55.1,43.7,38.8,94.3,92.3,89.2,97.3,90.6,64.2,53.8,31,17.2,90.6
Male,60,160,1,67.4,78,55.7,56.3,44.1,37.8,95,81.3,92.5,93.7,82,61.6,54.4,32,17.3,82
Male,60,160,2,67.6,79.2,55.9,56.4,44.1,38,94.7,83.1,92.4,94.2,83.6,62.1,54.1,31.7,17.3,83.6
Male,60,160,3,67.8,80.5,56.1,56.6,44.1,38.1,94.3,85,92.4,94.7,85.1,62.6,53.8,31.3,17.3,85.1
Male,60,160,4,67.9,81.7,56.3,56.8,44.1,38.3,94,86.9,92.4,95.2,86.7,63,53.5,31,17.3,86.7
Male,60,160,5,68.1,82.9,56.5,56.9,44.1,38.4,93.7,88.8,92.4,95.7,88.2,63.5,53.2,30.7,17.3,88.2
